id,name,size,aui
143,Atherosclerotic cardiovascular disease so described,894,A0871778
144,Childhood autism,894,A0010348
145,Avulsion of eye,894,A0243964
146,Babesiosis,894,A0028590
147,Dorsalgia,894,A0407619
148,Dorsalgia unspecified,816,A0921067
149,Bacterial infection unspecified,894,A0651874
150,Bacterial infection of unspecified site,1000,A0875068
151,Bacterial pneumonia unspecified,894,A0651895
152,Bagassosis,894,A0028967
153,Balanoposthitis,894,A0007770
154,Balantidiasis,894,A0029010
155,Balkan nephropathy,894,A0536902
156,Concentric sclerosis [Balo],894,A0902612
157,Abscess of Bartholin's gland,894,A0242866
158,Cyst of Bartholin's gland,894,A0242860
159,Bartonellosis,1000,A0029240
160,Bartonellosis unspecified,894,A0652578
161,Unspecified mental disorder,1154,A1411623
162,Mental disorder not otherwise specified,1000,A0743018
163,Behcet's disease,894,A0246943
164,Colon unspecified,894,A0900752
165,Cranial nerves,894,A0908832
166,Lower jaw bone,894,A0013539
167,Benign neoplasm of ovary,1000,A0240448
168,Beriberi,894,A0030057
169,Berylliosis,894,A0030099
170,Beta thalassaemia,894,A0655573
171,Atresia of bile ducts,894,A0649185
172,Fistula of bile duct,894,A0242583
173,Disease of biliary tract unspecified,894,A0918867
174,Bipolar affective disorder,1000,A0240977
175,Bipolar affective disorder unspecified,894,A0656641
176,Bird fancier's lung,894,A0878629
177,Birth trauma,1154,A0011968
178,Birth injury unspecified,894,A0878893
179,Calculus in bladder,894,A0889936
180,Malignant neoplasm of bladder,894,A0269825
181,Bladder unspecified,816,A0879433
182,Bladder disorder unspecified,894,A0879350
183,Exstrophy of urinary bladder,894,A0243624
184,Bladder-neck obstruction,894,A0879434
185,Blastomycosis,1000,A0031356
186,Blastomycosis unspecified,894,A0657152
187,Blepharitis,894,A0031408
188,Inflammation of eyelid unspecified,894,A0969167
189,Blepharochalasis,894,A0007487
190,Blepharoconjunctivitis,894,A0007786
191,Ptosis of eyelid,894,A0241511
192,Blepharospasm,894,A0031430
193,Coagulation defect unspecified,894,A0899653
194,Solitary bone cyst,816,A0282676
195,Disorder of bone unspecified,816,A0919294
196,Botulism,894,A0032292
197,Spotted fever due to Rickettsia conorii,894,A1090152
198,Concussion,894,A0004260
199,Disorder of brain unspecified,894,A0919297
200,Cerebral oedema,894,A0670714
201,Malignant neoplasm of breast,894,A0738501
202,Malignant neoplasm of breast,1000,A0738502
203,Breast unspecified,816,A0881967
204,Disorders of breast,1154,A0244405
205,Disorder of breast unspecified,894,A0919302
206,Recrudescent typhus [Brill's disease],894,A1064957
207,Bronchiectasis,1000,A0032861
208,Bronchitis not specified as acute or chronic,1000,A0242112
209,Bronchopneumonia unspecified,894,A0882285
210,Sequestration of lung,894,A0794577
211,Brucellosis,1000,A0032997
212,Brucellosis unspecified,894,A0661349
213,Burkitt's tumour,816,A0661811
214,Burn of other and unspecified internal organs,816,A0883248
215,Byssinosis,894,A0033575
216,Cachexia,1000,A0033840
217,Calcinosis cutis,894,A0008399
218,Disorders of calcium metabolism,894,A0240748
219,Calculus of gallbladder without cholecystitis,894,A0889952
220,Malignant neoplasms,1154,A0996637
221,Malignant neoplasm without specification of site,894,A0240354
222,Candidiasis,1000,A0034417
223,Candidiasis unspecified,894,A0667584
224,Candidiasis of skin and nail,894,A0890229
225,Candidal stomatitis,894,A0890225
226,Cannabinosis,894,A0001779
227,Intestinal capillariasis,894,A0724439
228,Carcinoma in situ unspecified,894,A0891224
229,Carcinoma in situ of other specified sites,894,A0240469
230,Malignant neoplasm of colon,894,A0269190
231,Colon unspecified,816,A0900751
232,Endometrium,816,A0054311
233,Malignant neoplasm of larynx,894,A0269399
234,Larynx unspecified,816,A0983368
235,Malignant neoplasm of skin unspecified,816,A0739307
236,Malignant neoplasm of thyroid gland,894,A0270027
237,Intraductal carcinoma in situ,894,A0975846
238,Alcoholic cardiomyopathy,894,A0388969
239,Dilated cardiomyopathy,894,A0687849
240,Cardiovascular disease unspecified,894,A0669174
241,Care involving use of rehabilitation procedures,1000,A0540482
242,Care involving use of rehabilitation procedure unspecified,894,A0891639
243,Carpal tunnel syndrome,894,A0399502
244,Chondropathies,1000,A0895773
245,Disorder of cartilage unspecified,816,A0919308
246,Cat-scratch disease,894,A0399618
247,Causalgia,894,A0035965
248,Coeliac disease,894,A0676320
249,Cellulitis,1000,A0036605
250,Cellulitis unspecified,894,A0892869
251,Disorder of central nervous system unspecified,894,A0919311
252,Central retinal artery occlusion,894,A0400035
253,Cephalhaematoma due to birth injury,894,A0893147
254,Cerebral atherosclerosis,894,A0241810
255,Cerebral infarction,1000,A0670690
256,Cerebral infarction unspecified,894,A0893390
257,Transient cerebral ischaemic attack unspecified,894,A1106142
258,Diffuse sclerosis,894,A0687570
259,Cerebrovascular disease unspecified,894,A0893470
260,Cerebrovascular diseases,1154,A0670790
261,Malignant neoplasm of cervix uteri,894,A0269655
262,Cervix uteri unspecified,816,A0893874
263,Polyp of cervix uteri,894,A1051516
264,Cervicalgia,816,A0243321
265,Inflammatory disease of cervix uteri,1000,A0969185
266,Dysplasia of cervix uteri,1000,A0691283
267,Dysplasia of cervix uteri unspecified,894,A0923299
268,Incompetence of cervix uteri,894,A0967702
269,Delivery by caesarean section unspecified,894,A0914708
270,Cestode infection unspecified,894,A0670943
271,Chalazion,894,A0037285
272,Chancroid,1000,A0037323
273,Chest pain unspecified,894,A0894496
274,Varicella [chickenpox],1000,A1116258
275,Chikungunya virus disease,894,A0894598
276,Chilblains,894,A0037680
277,Chlamydial infection unspecified,894,A0671788
278,Choanal atresia,894,A0400790
279,Cholangitis,894,A0038433
280,Primary biliary cirrhosis,894,A0776583
281,Cholecystitis,1000,A0038475
282,Cholecystitis unspecified,894,A0672319
283,Choledochal cyst,894,A0672331
284,Cholelithiasis,1000,A0038548
285,Cholera,1000,A0038562
286,Cholera unspecified,894,A0672375
287,Obstruction of bile duct,894,A0277686
288,Chondrodysplasia punctata,894,A0400890
289,Chondromalacia patellae,816,A0541611
290,Chorioretinal scars,894,A0008298
291,Chorioretinal inflammation,1000,A0672583
292,Chorioretinal inflammation unspecified,894,A0895841
293,Disorder of choroid unspecified,894,A0919317
294,Hereditary factor IX deficiency,1000,A0958921
295,Chromomycosis unspecified,894,A0672764
296,Cutaneous chromomycosis,894,A0546181
297,Chromosomal abnormality unspecified,894,A0895948
298,Unspecified chronic bronchitis,1000,A0242123
299,Chronic ethmoidal sinusitis,894,A0242030
300,Chronic frontal sinusitis,894,A0242024
301,Chronic gingivitis,894,A0242245
302,Chronic maxillary sinusitis,894,A0242017
303,Chronic motor or vocal tic disorder,894,A0000107
304,Chronic rhinitis,894,A0001533
305,Chronic sphenoidal sinusitis,894,A0242036
306,Polyarteritis with lung involvement [Churg-Strauss],894,A1051342
307,Ciguatera fish poisoning,894,A0896552
308,Cleft lip,1000,A0401455
309,Cleft palate,1000,A0401464
310,Cleft palate unspecified,894,A0674218
311,Clonorchiasis,894,A0040103
312,Clubbing of fingers,894,A0284137
313,Talipes equinovarus,894,A0465101
314,Cluster headache syndrome,894,A0675749
315,Cluttering,894,A0000121
316,Coccidioidomycosis,1000,A0040493
317,Coccidioidomycosis unspecified,894,A0676172
318,Ulcerative colitis,1000,A0001662
319,Ulcerative colitis unspecified,894,A0813054
320,Polyp of colon,894,A0774793
321,Colour vision deficiencies,894,A0901098
322,Colorado tick fever,894,A0401986
323,Coma unspecified,894,A0901140
324,Acute nasopharyngitis [common cold],1000,A0858432
325,Common variable immunodeficiency,1000,A0402159
326,Common variable immunodeficiency unspecified,894,A0901531
327,Communicating hydrocephalus,894,A0241145
328,Compression of brain,894,A0241236
329,Anankastic personality disorder,894,A0644444
330,Anogenital (venereal) warts,894,A0864487
331,Macroglossia,894,A0082258
332,Congenital cataract,894,A0008322
333,Congenital dislocation of hip unilateral,894,A0243631
334,Disorder of conjunctiva unspecified,894,A0919319
335,Disorders of conjunctiva,1154,A0274258
336,Conjunctival haemorrhage,894,A0904263
337,Conjunctivitis,1000,A0042186
338,Conjunctivitis unspecified,894,A0679054
339,Mucopurulent conjunctivitis,894,A0000688
340,Chlamydial conjunctivitis,894,A0671764
341,Viral conjunctivitis,1000,A0817467
342,Viral conjunctivitis unspecified,894,A0817471
343,Constipation,894,A0042272
344,Contracture of muscle,816,A0679384
345,Contracture of joint,816,A0243264
346,Convalescence following other treatment,894,A0244199
347,Febrile convulsions,894,A0701464
348,Cor triatriatum,894,A0402717
349,Disorder of cornea unspecified,894,A0919324
350,Hereditary corneal dystrophies,894,A0241454
351,Corneal ulcer,894,A0402795
352,Coronary artery aneurysm,894,A0907288
353,Atherosclerotic heart disease,894,A0535849
354,Malformation of coronary vessels,894,A0996074
355,Corpus luteum cyst,894,A0545662
356,Cough,1000,A0043301
357,Cranial nerve disorder unspecified,894,A0908812
358,Craniofacial dysostosis,894,A0403298
359,Craniosynostosis,894,A0012125
360,Deletion of short arm of chromosome 5,894,A0685078
361,Crigler-Najjar syndrome,894,A0403443
362,Crohn's disease [regional enteritis],1000,A0909462
363,Crohn's disease unspecified,894,A0909467
364,Acute obstructive laryngitis [croup],894,A0858475
365,Cryoglobulinaemia,894,A0909958
366,Cryptococcosis,1000,A0043949
367,Undescended testicle,1000,A0243610
368,Undescended testicle unspecified,894,A1110891
369,Cryptosporidiosis,894,A0043991
370,Cushing's syndrome,1000,A0403782
371,Cushing's syndrome unspecified,894,A0910362
372,Cyanosis,894,A0044294
373,Cyclothymia,894,A0000325
374,Cystic fibrosis,1000,A0403973
375,Cystic fibrosis unspecified,894,A0910914
376,Cysticercosis,1000,A0044721
377,Cysticercosis unspecified,894,A0682438
378,Cystitis,1000,A0044768
379,Cystitis unspecified,894,A0682472
380,Cytomegaloviral disease,1000,A0682696
381,Cytomegaloviral disease unspecified,894,A0682699
382,Atresia of foramina of Magendie and Luschka,894,A0649199
383,Caisson disease [decompression sickness],894,A0889736
384,Decubitus ulcer,1000,A0405664
385,Deficiency of other vitamins,894,A0240663
386,Other vitamin deficiencies,1000,A1035742
387,Dysphagia,1000,A0052112
388,Delirium unspecified,894,A0685103
389,Delivery,1154,A0046197
390,Delusional disorder,894,A0000294
391,Multi-infarct dementia,894,A0436320
392,Vascular dementia,1000,A1116344
393,Vascular dementia unspecified,894,A1116356
394,Demyelinating diseases of the central nervous system,1154,A0685300
395,Demyelinating disease of central nervous system unspecified,894,A0685296
396,Dengue fever [classical dengue],1000,A0914924
397,Dental caries,1000,A0406105
398,Dental caries unspecified,894,A0915006
399,Deposits [accretions] on teeth,894,A0915346
400,Necrosis of pulp,894,A1009478
401,Dependent personality disorder,894,A0406206
402,Dermatitis unspecified,894,A0915550
403,Exfoliative dermatitis,1000,A0698333
404,Dermatitis herpetiformis,894,A0406274
405,Atopic dermatitis,1000,A0392163
406,Atopic dermatitis unspecified,894,A0871843
407,Unspecified contact dermatitis unspecified cause,894,A1112354
408,Unspecified contact dermatitis,1000,A1112335
409,Dermatopolymyositis,1000,A0915702
410,Dermatopolymyositis unspecified,894,A0915707
411,Dermatophytosis,1000,A0009322
412,Dermatophytosis unspecified,894,A0685944
413,Other developmental disorders of scholastic skills,894,A0760711
414,Receptive language disorder,894,A1064294
415,Dextrocardia,894,A0047797
416,Diabetes insipidus,894,A0406456
417,Diabetes mellitus,1154,A0406465
418,Unspecified diabetes mellitus,1000,A1112367
419,Insulin-dependent diabetes mellitus,1000,A0973430
420,Non-insulin-dependent diabetes mellitus,1000,A1012349
421,Unspecified diabetes mellitus with peripheral circulatory complications,894,A1112374
422,Diabetic cataract,894,A0008331
423,Diabetic retinopathy,894,A0406491
424,Diaper [napkin] dermatitis,1000,A0917499
425,Progressive diaphyseal dysplasia,894,A1056914
426,Diastematomyelia,894,A0048177
427,Dicrocoeliasis,894,A0048393
428,Di George's syndrome,894,A0916746
429,Diseases of the digestive system,1414,A1411642
430,Disease of digestive system unspecified,894,A0918875
431,Diphtheria,1000,A0049354
432,Diphtheria unspecified,894,A0688293
433,Cutaneous diphtheria,894,A0239942
434,Pharyngeal diphtheria,894,A1047521
435,Laryngeal diphtheria,894,A0239928
436,Nasopharyngeal diphtheria,894,A0239918
437,Diphyllobothriasis,894,A0049386
438,Diplopia,894,A0049416
439,Discitis unspecified,816,A0918608
440,Disorders of copper metabolism,894,A0240735
441,Disorders of iron metabolism,894,A0240731
442,Disorders of magnesium metabolism,894,A0240739
443,Aortic aneurysm and dissection,1000,A0646608
444,Disseminated intravascular coagulation [defibrination syndrome],1000,A0919891
445,Disturbances of salivary secretion,894,A0920210
446,Disturbances of skin sensation,1000,A0920212
447,Disturbances in tooth eruption,894,A0242203
448,Donor of unspecified organ or tissue,894,A0920656
449,Double outlet right ventricle,894,A0407665
450,Down's syndrome,1000,A0407698
451,Down's syndrome unspecified,894,A0921231
452,Dracunculiasis,1000,A0009377
453,Drowning and nonfatal submersion,894,A0244087
454,Alveolitis of jaws,894,A0862489
455,Patent ductus arteriosus,894,A0007402
456,Obstruction of duodenum,894,A1018426
457,Duodenal ulcer,1000,A0408005
458,Duodenitis,894,A0051815
459,Palmar fascial fibromatosis [Dupuytren],816,A1040796
460,Familial dysautonomia [Riley-Day],894,A0939988
461,Shigellosis,1000,A0000729
462,Shigellosis unspecified,894,A0795268
463,Parageusia,894,A0444870
464,Dysmenorrhoea unspecified,894,A0923274
465,Dyspareunia,894,A0052090
466,Dyspepsia,1000,A0052101
467,Dyspnoea,894,A0923326
468,Dysthymia,894,A0000335
469,Dysuria,894,A0004039
470,Pain associated with micturition,1000,A1040492
471,Painful micturition unspecified,894,A1040598
472,Disorder of ear unspecified,894,A0919333
473,Otalgia,894,A0095904
474,Eating disorders,1000,A0925737
475,Eating disorder unspecified,894,A0692439
476,Ebstein's anomaly,894,A0409655
477,Echinococcosis,1000,A0052440
478,Echinococcosis unspecified of liver,894,A0268665
479,Eclampsia,1000,A0052539
480,Eclampsia unspecified as to time period,894,A0925830
481,Congenital displaced lens,894,A0903483
482,Ectropion of eyelid,894,A0925918
483,Oedema unspecified,894,A1020298
484,Localized oedema,894,A0989107
485,Other and unspecified effects of external causes,1154,A0317710
486,Effects of other external causes,1000,A0244078
487,Effects of thirst,894,A0244097
488,Chylous effusion,894,A0673518
489,Ehlers-Danlos syndrome,894,A0409883
490,Hereditary elliptocytosis,894,A0240802
491,Chondroectodermal dysplasia,894,A0400894
492,Embolism and thrombosis of abdominal aorta,894,A0241872
493,Embolism and thrombosis of unspecified artery,894,A0241876
494,Amniotic fluid embolism,894,A0243046
495,Pyothorax,1000,A0108189
496,California encephalitis,894,A0398847
497,Central European tick-borne encephalitis,894,A0540879
498,Japanese encephalitis,894,A0426323
499,Encephalitis myelitis and encephalomyelitis,1000,A0694034
500,Encephalitis myelitis and encephalomyelitis unspecified,894,A0927599
501,St Louis encephalitis,894,A1090508
502,Tick-borne viral encephalitis,1000,A0240055
503,Tick-borne viral encephalitis unspecified,894,A0807488
504,Occipital encephalocele,894,A0571252
505,Venezuelan equine fever,894,A0240067
506,Enchondromatosis,894,A0054066
507,Nonorganic encopresis,894,A1012772
508,Endocardial fibroelastosis,894,A0410275
509,Endocrine disorder unspecified,894,A0928283
510,Endometriosis,1000,A0054291
511,Endometriosis unspecified,894,A0928379
512,Endometriosis of fallopian tube,894,A0008630
513,Enophthalmos,894,A0054637
514,Enterovirus infection unspecified,894,A0695086
515,Eosinophilia,894,A0055037
516,Epidermal cyst,894,A0410593
517,Toxic epidermal necrolysis [Lyell],894,A1105119
518,Epidermolysis bullosa,1000,A0410615
519,Epidermolysis bullosa unspecified,894,A0929437
520,Epilepsy,1000,A0055263
521,Epilepsy unspecified,894,A0695450
522,Petit mal unspecified without grand mal seizures,894,A1047363
523,Episcleritis,894,A0055347
524,Epispadias,894,A0055370
525,Epistaxis,894,A0055385
526,Erosion and ectropion of cervix uteri,1000,A0929813
527,Erysipelas,1000,A0055736
528,Erythema multiforme,1000,A0410879
529,Erythema multiforme unspecified,894,A0929879
530,Erythema nodosum,1000,A0410888
531,Erythrasma,894,A0055785
532,Haemolytic disease of fetus and newborn,1000,A0956205
533,Haemolytic disease of fetus and newborn unspecified,894,A0956207
534,Achalasia of cardia,894,A0387938
535,Disease of oesophagus unspecified,894,A0918894
536,Dyskinesia of oesophagus,894,A0691252
537,Perforation of oesophagus,894,A0770311
538,Oesophageal varices,1000,A0756523
539,Oesophagitis,1000,A0756553
540,Convergent concomitant strabismus,894,A0906789
541,Examination of ears and hearing,894,A0244209
542,Rash and other nonspecific skin eruption,1000,A0243778
543,Exanthema subitum [sixth disease],894,A0931187
544,Exhibitionism,894,A0057070
545,Multiple congenital exostoses,894,A1005961
546,Divergent concomitant strabismus,894,A0549237
547,Exposure to noise,894,A0244260
548,Exposure to unspecified type of radiation,894,A0934363
549,Congenital malformation of eye unspecified,894,A0903714
550,Disorders of globe,1000,A0919600
551,Disorder of globe unspecified,894,A0919355
552,Disorder of eyelid unspecified,894,A0919343
553,Facial nerve disorders,1000,A0241256
554,Disorder of facial nerve unspecified,894,A0919346
555,Intentional production or feigning of symptoms or disabilities either physical or psychological [factitious disorder],894,A0974034
556,Hereditary factor XI deficiency,894,A0958925
557,Family history of consanguinity,894,A0244128
558,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],894,A0940307
559,Farmer's lung,894,A0413037
560,Fasciculation,894,A0058227
561,Fascioliasis,894,A0058257
562,Fasciolopsiasis,894,A0058274
563,Postviral fatigue syndrome,894,A0775575
564,Alcoholic fatty liver,894,A0388976
565,Faecal incontinence,1000,A0700723
566,Felty's syndrome,816,A0413256
567,Fracture of femur,1000,A0704428
568,Fracture of femur part unspecified,894,A0946663
569,Fracture of neck of femur,894,A0285310
570,Fetal alcohol syndrome (dysmorphic),894,A0941338
571,Slow fetal growth unspecified,894,A1087304
572,Premature rupture of membranes,1000,A0279816
573,Premature rupture of membranes unspecified,894,A1054656
574,Fetishism,894,A0000427
575,Fever unspecified,894,A0942336
576,Fever of unknown origin,1000,A0413589
577,Diffuse cystic mastopathy,894,A0242810
578,Myositis ossificans progressiva,816,A0436943
579,Arterial fibromuscular dysplasia,894,A0647743
580,Fibrous dysplasia (monostotic),816,A0942704
581,Polyostotic fibrous dysplasia,894,A0447621
582,Filariasis,1000,A0059281
583,Filariasis unspecified,894,A0702617
584,Pathological fire-setting [pyromania],894,A1042517
585,Anal fissure unspecified,894,A0863572
586,Flail chest,894,A0414055
587,Flushing,894,A0060136
588,Follicular cyst of ovary,894,A0007617
589,Congenital deformities of feet,1000,A0903446
590,Congenital deformity of feet unspecified,894,A0903451
591,Unspecified injury of forearm,894,A1112543
592,Foreign body in alimentary tract,1000,A0945776
593,Foreign body in alimentary tract part unspecified,894,A0945781
594,Apocrine miliaria,894,A0012228
595,Multiple fractures unspecified,894,A1006042
596,Freckles,894,A0060914
597,Frostbite,1154,A0061031
598,Functional intestinal disorder unspecified,894,A0947826
599,Functional disorders of polymorphonuclear neutrophils,1000,A0240890
600,Nonorganic enuresis,894,A1012774
601,Pectus excavatum,894,A0445470
602,Disease of gallbladder unspecified,894,A0918879
603,Gas gangrene,894,A0416143
604,Gastric varices,894,A0555148
605,Gastritis unspecified,894,A0949784
606,Chronic atrophic gastritis,894,A0541763
607,Gastro-oesophageal reflux disease,1000,A0949812
608,Gastrointestinal haemorrhage unspecified,894,A0949880
609,Gender identity disorders,1000,A0950140
610,Gender identity disorder unspecified,894,A0707607
611,Generalized and unspecified atherosclerosis,894,A0241829
612,Genetic anomalies of leukocytes,894,A0240895
613,Geniculate ganglionitis,894,A0241260
614,Disorder of male genital organs unspecified,894,A0919393
615,Diseases of male genital organs,1154,A0317681
616,Primary genital syphilis,894,A0578172
617,Geotrichosis,894,A0063000
618,Giardiasis [lambliasis],894,A0950884
619,Gilbert's syndrome,894,A0009580
620,Gingival recession,894,A0416788
621,Glanders,894,A0063363
622,Glaucoma,1000,A0063433
623,Glaucoma,1154,A0063434
624,Glaucoma unspecified,894,A0951151
625,Primary angle-closure glaucoma,894,A0010380
626,Glaucoma suspect,894,A0708618
627,Chronic nephritic syndrome diffuse membranous glomerulonephritis,894,A0673248
628,Glossodynia,894,A0063648
629,Glossitis,894,A0063637
630,Geographic tongue,894,A0416616
631,Glycogen storage disease,894,A0417195
632,Glycosuria,1000,A0064265
633,Gnathostomiasis,894,A0001076
634,Iodine-deficiency-related diffuse (endemic) goitre,894,A0725134
635,Iodine-deficiency-related (endemic) goitre unspecified,894,A0725128
636,Gonococcal peritonitis,894,A0006555
637,Gonococcal infection,1000,A0289193
638,Gonococcal infection unspecified,894,A0709854
639,Gout,894,A0064560
640,Gout unspecified,816,A0709953
641,Granuloma inguinale,1000,A0417349
642,Lethal midline granuloma,894,A0430286
643,Guillain-Barre syndrome,894,A0417661
644,Halitosis,894,A0065622
645,Hallervorden-Spatz disease,894,A0556726
646,Hallucinations unspecified,894,A0956686
647,Congenital deformity of hand,894,A0903454
648,Enteroviral vesicular stomatitis with exanthem,894,A0551068
649,Allergic rhinitis due to pollen,894,A0276644
650,Injuries to the head,1154,A0970650
651,Unspecified injury of head,894,A1112545
652,Headache,1000,A0065992
653,Conductive hearing loss unspecified,894,A0677561
654,Sensorineural hearing loss unspecified,894,A0794290
655,Aneurysm of heart,894,A0241695
656,Cardiac arrest,1000,A0399226
657,Cardiac arrest unspecified,894,A0891266
658,Congenital malformation of heart unspecified,894,A0903728
659,Heart disease unspecified,894,A0714461
660,Cardiomegaly,894,A0035186
661,Heart failure,1000,A0001700
662,Heart failure unspecified,894,A0714471
663,Congestive heart failure,894,A0010078
664,Injury of heart,1000,A0723643
665,Injury of heart unspecified,894,A0971201
666,Cardiac murmur unspecified,894,A0891416
667,Congenital malformations of cardiac septa,1000,A0903868
668,Congenital malformation of cardiac septum unspecified,894,A0903691
669,Atrial septal defect,894,A0004765
670,Ventricular septal defect,894,A0004773
671,Heartburn,1000,A0066500
