,id,name,size,info
6003,50,rnas,641," C0035668, "
2418,51,"Fluoride, NOS",905," C0016327, "
1575,52,"Lipid, NOS",848," C0023779, "
2680,53,"Solutions, Pharmaceutical",864," C0525069, "
3177,54,serum immune,736," C0020960, "
122,55,"Enzymes, hematological",776," C3540017, "
2996,56,ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS,776," C3540048, "
1640,57,Enzymes FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,776," C3540772, "
4647,58,"Enzymes, peripheral vasodilators",776," C3540790, "
3234,59,"Enzymes, antithrombotic",776," C3541394, "
5108,60,Enzymes for ALIMENTARY TRACT AND METABOLISM,776," C3542456, "
1362,61,Field's stain,880," C0440042, "
3077,62,"Ion, NOS",750," C0022023, "
3323,63,chloride sodium,770," C0037494, "
3230,64,"Chemical, NOS",871," C0220806, "
6019,65,Dopamine,719," C0013030, "
163,66,MRC1 gene,605," C1417249, "
1169,67,Program,751," C2728259, "
3161,68,"A, Staphylococcal Protein",760," C0038164, "
4956,69,a very small piece or part,731," C0597177, "
3510,70,"Monoclonal antibodies, antineoplastic",663," C3542957, "
1706,71,Serotonin,803," C0036751, "
675,72,fibres,806," C0225326, "
3895,73,"Phospholipid, NOS",690," C0031676, "
4744,74,"Hormone, NOS",812," C0019932, "
2562,75,chloride ions,714," C0596019, "
5636,76,"Sodium, NOS",783," C0037473, "
972,77,Sodium supplements,783," C3541959, "
4136,78,Sodium Drug Class,783," C3714642, "
309,79,"Antibiotic, NOS",727," C0003232, "
4977,80,Homologous Gene,699," C1334043, "
2336,81,"Binding site, NOS",664," C0005456, "
4931,82,"Element, NOS",855," C0013879, "
5317,83,(-)-Cholesterol,704," C0008377, "
4628,84,Retinoic Acid Response Element,997," C1514917, "
4736,85,Amino Acid [EPC],647," C2917660, "
935,86,"Base, NOS",827," C0178499, "
4666,87,"Nucleotide, NOS",624," C0028630, "
5127,88,"Glycoprotein, NOS",626," C0017968, "
5623,89,Agonist,728," C2987634, "
5920,90,Locus,664," C1708726, "
4644,91,"Steroid, NOS",841," C0038317, "
4011,92,"Phosphates, Inorganic",653," C0031603, "
4942,93,estradiols,636," C0014912, "
5835,94,"Carbohydrate, NOS",675," C0007004, "
3148,95,"Delta-Like Protein 1, human",771," C3815527, "
85,96,YY1 wt Allele,771," C3540585, "
1456,97,derivatives,731," C0243072, "
282,98,8-chloro-cyclic adenosine monophosphate,638," C0050063, "
4908,99,Deuterium,750," C0011744, "
3321,100,prolactins,644," C0033371, "
4991,101,hydroxide ion,625," C0220853, "
2658,102,Gels,636," C0017243, "
2666,103,morphines,680," C0026549, "
5859,104,Argipressin,678," C0003779, "
2794,105,"Alkali, NOS",804," C0002055, "
3771,106,Epinephrine,764," C0014563, "
5096,107,"Genome, NOS",512," C0017428, "
1865,108,progesterones,635," C0033308, "
1554,109,DUOXA1 gene,593," C1824986, "
3239,110,"Oestrogen, NOS",701," C0014939, "
1466,111,Progesterone [EPC],632," C2757070, "
5980,112,histamines,788," C0019588, "
4040,113,Phosphoric acid ester,646," C0031701, "
859,114,inhibitors,756," C0243077, "
1463,115,AR wt Allele,577," C1705240, "
672,116,a poly,566," C0032400, "
2985,117,Gonadorelin,542," C0023610, "
955,118,phosphate ion,637," C1601799, "
3730,119,Leucine,611," C0023401, "
2164,120,Antifibrinolytic amino acids,615," C3539947, "
3333,121,"Amino Acids, I.V. solution additive",615," C3539946, "
1318,122,salt,708," C0036140, "
2008,123,survives,826," C0310255, "
780,124,"Iron, NOS",649," C0302583, "
4035,125,Interleukine 2,510," C0021756, "
48,126,iron dietary,643," C0376520, "
4784,127,Concanavalin A,583," C0009630, "
4061,128,Acetylcholine,637," C0001041, "
4284,129,Sucrose,641," C0038636, "
727,130,"Ferrum metallicum, Homeopathic preparation",643," C1166521, "
2329,131,Iron Drug Class,643," C3714701, "
2022,132,"Saccharum officinale, sucrose, cane sugar, Homeopathic preparation",633," C1161331, "
2194,133,Chemical Probe,758," C2347609, "
5315,134,Albumins,742," C0001924, "
1280,135,Proteolytic Enzyme,636," C1947941, "
2614,136,probe gene fragment,758," C1704681, "
3111,137,fibronectin,609," C0016055, "
1028,138,factor A,913," C0960756, "
4116,139,IL2 gene,500," C0879590, "
1907,140,"Proteins, Complement System",773," C0009498, "
2451,141,Histidine,837," C0019602, "
2730,142,ligand,581," C0023688, "
4285,143,Adenosine,658," C0001443, "
703,144,Buffered,697," C0006353, "
4188,145,hydrocortisones,718," C0020268, "
3911,146,mutagen,500," C0026879, "
659,147,Dental Base,780," C1880279, "
4848,148,testosterones,606," C0039601, "
3123,149,thymidin,607," C0040077, "
1847,150,Cobaltous Cation,662," C2347816, "
226,151,FAM64A gene,770," C1825121, "
3846,152,Food allergenic extracts,723," C3540798, "
2363,153,Air,746," C3536832, "
363,154,Calmodulin 1,555," C1366910, "
5104,155,Calmodulin,554," C0006772, "
1046,156,.GAMMA.-AMINOBUTYRIC ACID,534," C0016904, "
3933,157,Gentamicin Sulfate (USP),701," C0546866, "
3410,158,"Lipopolysaccharide, NOS",566," C0023810, "
1411,159,Cyclic AMP,651," C0001455, "
1683,160,promoters,457," C0086860, "
5534,161,"Potassium, NOS",710," C0032821, "
2252,162,Suspension,709," C0038960, "
2783,163,"Potassium supplement, NOS",706," C0304475, "
3928,164,complementary DNA,434," C0006556, "
4841,165,Cuprous,626," C2347872, "
3027,166,"Catecholamine, NOS",728," C0007412, "
3156,167,Potassium Drug Class,706," C3714637, "
5856,168,heparins,726," C0019134, "
2030,169,culture mediums,595," C0010454, "
1999,170,"heparin, porcine",725," C0770546, "
1546,171,(-)-Naloxone,649," C0027358, "
1732,172,"Fatty acid, NOS",599," C0015684, "
5331,173,Estrogen [EPC],669," C2936882, "
3833,174,Protium,732," C0700308, "
5679,175,"Glutathione, NOS",501," C0017817, "
1189,176,"S-Methyltransferase, 5-Methyltetrahydrofolate-Homocysteine",665," C0039676, "
5820,177,Angiotensin II,643," C0003009, "
4739,178,Angiotensin-2,643," C3714928, "
1152,179,MUC7 gene,542," C1417500, "
838,180,MTR wt Allele,660," C3539704, "
3221,181,somatostatins,583," C0037659, "
441,182,Dietary Zinc,634," C2348288, "
462,183,"Carcinogen, NOS",532," C0007090, "
1726,184,Zinc Supplements,630," C3541396, "
1099,185,"Zinc, NOS",629," C0043481, "
3947,186,Zinc Drug Class,629," C3714650, "
4123,187,Trypsin,602," C0041236, "
4842,188,isoenzyme,567," C0022173, "
5272,189,TAC1 gene,571," C1420563, "
3032,190,hydroxyl group,606," C0700307, "
4211,191,vasopressin,654," C0042413, "
777,192,ACTH and synthetic analog preparations,590," C3539087, "
2289,193,SERPINA1 wt Allele,594," C3537219, "
4482,194,"Growth factor, NOS",589," C0018284, "
4362,195,"Alcohol, NOS",744," C0001975, "
962,196,Neuronal,703," C0521390, "
1007,197,"Haemoglobin, NOS",681," C0019046, "
5222,198,"Immunoglobulin A, Human",676," C2825347, "
1317,199,Wild Type,482," C1883559, "
358,200,recombinant interleukin-2,494," C1522405, "
4673,201,indicator,889," C0021212, "
3772,202,"Lectin, NOS",533," C0023206, "
1576,203,Actins,490," C0001271, "
914,204,Blood group antigen D,719," C0073187, "
3721,205,p substance,571," C0038585, "
1225,206,"Immune complex, NOS",722," C0003313, "
4165,207,"Glucagon, NOS",608," C0017687, "
1108,208,Verapamil,684," C0042523, "
1151,209,Dexamethasone,667," C0011777, "
578,210,"Oxidoreductase, NOS",541," C0030016, "
3982,211,"Peroxidase, Horseradish",530," C0019941, "
5352,212,glucagon (rDNA),606," C0876232, "
5999,213,Cancer/Testis Antigen,712," C3813556, "
4603,214,acid arachidonic,632," C0003695, "
4684,215,glutamate,539," C0220839, "
2751,216,CD69 wt Allele,860," C3540471, "
1829,217,PCYT1A wt Allele,707," C3540513, "
2416,218,Aim,859," C2948600, "
3386,219,lactate,646," C0022924, "
764,220,endopeptidase,607," C0030946, "
5484,221,Lactate,646," C0376261, "
1457,222,Rose extract,723," C0995005, "
2311,223,GPR162 gene,834," C1825406, "
1118,224,"Toxin, NOS",605," C0040549, "
2949,225,"Prostaglandin, NOS",768," C0033554, "
3949,226,Vasopressin (USP),638," C1705480, "
3163,227,Liposomes,505," C0023828, "
4226,228,(-)-Cyclophosphamide,622," C0010583, "
5792,229,triglyceride,612," C0041004, "
3094,230,Immunostimulating conjugate (antigen),566," C0301869, "
4707,231,Human Leukocyte Interferon,575," C0733470, "
4892,232,Oral granules,608," C0993609, "
4890,233,Alteplase,479," C0032143, "
944,234,THYROID DIAGNOSTIC RADIOPHARMACEUTICALS,726," C3540038, "
2712,235,"antibiotics, intestinal",651," C3540709, "
3600,236,Antitubercular Antibiotics,651," C0003237, "
2052,237,Antibiotics for systemic use,651," C3540704, "
5527,238,"Antifungal Antibiotics, Topical",651," C3540705, "
5816,239,Antibiotic throat preparations,651," C3540706, "
971,240,Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,651," C3540707, "
5189,241,"Antibiotics, Gynecological",651," C3540708, "
3768,242,"Antibiotics, ophthalmologic",651," C3540710, "
4419,243,Candida albicans extract,466," C0717551, "
3685,244,Graft material,761," C0181074, "
3548,245,"Amine, NOS",601," C0002508, "
4582,246,Suppressor,593," C2954564, "
5125,247,POMC gene,529," C1337111, "
1562,248,reagents,569," C0034760, "
2810,249,Epitope,521," C0003316, "
584,250,Methotrexate,562," C0025677, "
4576,251,Phytohaemagglutinin,574," C0031858, "
5940,252,mitogen,554," C0026249, "
5584,253,Methionine,527," C0025646, "
2307,254,aspirins,738," C0004057, "
948,255,Alpha-1,612," C1979844, "
5766,256,"Gas, NOS",714," C0017110, "
4592,257,Tritium,704," C0041119, "
3680,258,Lysine,493," C0024337, "
4723,259,Interferons,563," C0021747, "
1673,260,"Nitrogen, NOS",577," C0028158, "
4339,261,cation,565," C0007447, "
216,262,Inorganic sulphate,554," C0038720, "
5896,263,Murine,599," C0591833, "
4190,264,Alleles,492," C0002085, "
4309,265,Proline,601," C0033382, "
3598,266,antagonists,698," C0243076, "
647,267,"Carbon, NOS",522," C0007009, "
4404,268,monomers,532," C0596973, "
629,269,Human Growth Hormone,592," C3714500, "
4657,270,Crystal Structure,594," C0444626, "
510,271,Ouabain,548," C0029904, "
4368,272,Cytochrome-P450,450," C0010762, "
5121,273,Advanced Glycosylation End Product,762," C0162574, "
4492,274,"Detergent, NOS",486," C0011740, "
3743,275,Solid [Dose Form],667," C1378566, "
608,276,Adenosine Triphosphatases,544," C0001473, "
1899,277,Perform,738," C2947996, "
483,278,IL1RL1 wt Allele,631," C3812692, "
3622,279,Tyrosine,521," C0041485, "
4792,280,AKR1B10 gene,796," C1412323, "
4248,281,"Lipoprotein, NOS",602," C0023820, "
3519,282,anion,504," C0003075, "
4312,283,"Ester, NOS",544," C0014898, "
758,284,CD5 Gene,626," C1413227, "
5499,285,"Metal, NOS",581," C0025552, "
3494,286,CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,794," C3540014, "
5207,287,"Peroxide, Hydrogen",516," C0020281, "
5009,288,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",499," C0071360, "
4660,289,Recombinant Somatostatin,565," C1881011, "
4793,290,theophyllines,632," C0039771, "
1901,291,IMPACT gene,743," C1825598, "
434,292,Cisplatin,519," C0008838, "
273,293,"Vaccine, NOS",498," C0042210, "
2651,294,cysteines,477," C0010654, "
5103,295,luteinising hormone,478," C0023607, "
4760,296,SLC33A1 gene,741," C1412113, "
5035,297,phosphatidylcholine,464," C1959616, "
3216,298,Cimetidine,640," C0008783, "
4503,299,GPI gene,530," C1333690, "
3837,300,AICDA wt Allele,814," C3540469, "
209,301,Clonidine,595," C0009014, "
5666,302,interferon,557," C3652465, "
2188,303,ISOLATE COMPOUND,561," C1875400, "
3164,304,Dietary Copper,596," C2348263, "
526,305,Thrombin,559," C0040018, "
5595,306,PAGR1 wt Allele,693," C3812826, "
4200,307,Relate - vinyl resin,800," C0163712, "
2782,308,Phenobarbital,520," C0031412, "
4674,309,A-factor (Streptomyces),852," C0050325, "
1133,310,"Copper, NOS",591," C0009968, "
2522,311,Adenosinetriphosphatase,533," C1706373, "
3394,312,"Cyclase, Adenylate",495," C0001492, "
3640,313,Sulfhydryl Compounds,531," C0038734, "
541,314,dimers,444," C0596448, "
1984,315,Recombinant Luteinizing Hormone,477," C1704298, "
3280,316,Urea,586," C0041942, "
1781,317,Somatropin,577," C0169964, "
5138,318,Glycine,516," C0017890, "
3806,319,glutamate,490," C0017789, "
3479,320,Atropine,616," C0004259, "
195,321,"Atropinum, atropine",616," C1161352, "
467,322,Adapt (substance),696," C2937289, "
1279,323,Fluorouracilï¿½,526," C0016360, "
890,324,tracer,637," C1522485, "
3529,325,PFDN5 gene,663," C1418486, "
1170,326,GPI wt Allele,519," C1704947, "
559,327,salicylhydroxamic acid,595," C0073980, "
5809,328,Sulphate Ion,524," C3536965, "
5465,329,gamma Glutamyl Hydrolase,434," C0033993, "
1514,330,"Chromatin, NOS",476," C0008546, "
100,331,Acetate,558," C0000975, "
256,332,Edetic Acid,568," C0013618, "
2945,333,Precise,784," C2939802, "
1687,334,egg extract,537," C1508746, "
400,335,"Sulfates, Unspecified or Sulfate Ion",524," C0475337, "
4589,336,"Sequences, Amino Acid",405," C0002518, "
4400,337,"Dye, NOS",614," C0013343, "
34,338,GGH wt Allele,432," C3539616, "
2318,339,"NOS2A protein, human",584," C0669372, "
5554,340,antineoplaston-A10,776," C0052080, "
5758,341,NADP,383," C0027303, "
2589,342,"Bicarbonate, NOS",543," C0005367, "
931,343,Adenylyl Cyclase 9,490," C1382029, "
5787,344,(+)-Aldosterone,494," C0002006, "
6000,345,REN gene,542," C1419338, "
1995,346,"Lipoproteins, Low-Density",490," C0023823, "
4176,347,Transcript,406," C1519595, "
3263,348,Chymosin,536," C0035100, "
330,349,renins,534," C0035094, "
4568,350,Peroxidase,593," C0027021, "
3858,351,Glycerine,570," C0017861, "
5179,352,agonists,629," C0243192, "
2685,353,"Sugar, NOS",536," C0242209, "
3443,354,TBATA gene,620," C1428114, "
5084,355,"Solvent, NOS",553," C0037638, "
1470,356,Sepharose,482," C0036681, "
3502,357,GNRH1 gene,462," C1415169, "
145,358,endotoxin,581," C0014264, "
2326,359,"Reading Frames, Open",296," C0079941, "
3876,360,"Fluorescent stain, NOS",603," C0303920, "
5582,361,EXOSC10 gene,521," C1539372, "
4901,362,oligosaccharide,410," C0028959, "
485,363,lung surfactant combinations,717," C3539955, "
5278,364,Specific immunoglobulin combinations,717," C3539969, "
3719,365,Short-acting sulfonamide combinations,717," C3539181, "
409,366,Salt solution combinations,717," C3539182, "
538,367,topical antibiotic combinations,717," C3539954, "
3608,368,Magnesium antacid compound combinations,717," C3539956, "
109,369,opium alkaloids and derivative combination cough suppressants,717," C3539957, "
2320,370,Imidazole and triazole derivative topical antifungal combinations,717," C3539958, "
1497,371,Long-acting sulfonamide combinations,717," C3539959, "
2335,372,Other intestinal adsorbent combinations in ATC,717," C3539960, "
443,373,Platelet aggregation inhibitor combinations excl. heparin,717," C3539961, "
4450,374,vitamin D and analog combinations,717," C3539962, "
285,375,Amide local anesthetic combinations,717," C3539963, "
4697,376,local opthalmologic anesthetic combinations,717," C3539964, "
3041,377,Local hemostatic combinations,717," C3539965, "
637,378,"insulins and analogs for injection combinations, long-acting",717," C3539966, "
3583,379,"Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations",717," C3539967, "
5321,380,Enema combinations,717," C3539968, "
407,381,combination drugs used in erectile dysfunction,717," C3539970, "
3688,382,otologic analgesic and anesthetic combinations,717," C3539971, "
2661,383,Combination solutions for parenteral nutrition,717," C3539972, "
404,384,Other antifungal combinations for topical use in ATC,717," C3539973, "
2612,385,"Insulins and analogs for injection, intermediate-acting combinations",717," C3539974, "
1004,386,Aluminium antacid compound combinations,717," C3539975, "
5593,387,Penicillins with extended spectrum combinations,717," C3539976, "
5823,388,Calcium antacid compound combinations,717," C3539977, "
2876,389,expectorant combinations excluding combinations with cough suppressants,717," C3539978, "
3178,390,Antiinfective irrigating solution combinations,717," C3539979, "
1416,391,Hepatitis vaccine combinations,717," C3540026, "
5559,392,Adrenergic and dopaminergic agents combinations,717," C3540027, "
2258,393,Other irrigating solution combinations in ATC,717," C3540028, "
3364,394,other cough suppressant combinations in ATC,717," C3540030, "
4350,395,gonadotropin combinations,717," C3540031, "
1194,396,Intermediate-acting sulfonamide combinations,717," C3540719, "
5973,397,Caries prophylactic agent combinations,717," C3540720, "
1994,398,other nasal preparation combinations in ATC,717," C3540721, "
2525,399,Beta-lactamase sensitive penicillin combinations,717," C3540722, "
4144,400,"Insulins and analogs for injection, fast-acting combinations",717," C3540723, "
2399,401,"expectorant combinations, excl. combinations with cough suppressants",717," C3540724, "
1268,402,Potassium supplement combinations,717," C3540740, "
1947,403,growth hormones,559," C0037663, "
4289,404,Diazepam,584," C0012010, "
3240,405,Fibrinogens,622," C0016006, "
4706,406,Tryptophan,504," C0041249, "
2475,407,Adriamycinï¿½,538," C0085752, "
4601,408,Gentamycins,503," C0017436, "
4085,409,"Androgen, NOS",532," C0002844, "
800,410,"Antibody, Anti-Idiotypic",558," C0003242, "
5963,411,fibrinogen concentrate (human),565," C2587184, "
5770,412,polymer,555," C0032521, "
1064,413,WASF1 gene,668," C1421479, "
4153,414,beta endorphins,503," C0005210, "
3013,415,beta-adrenergic receptor,619," C0034785, "
1876,416,monolayer,541," C0872351, "
701,417,Simulate composite resin,814," C0284447, "
4445,418,glucocorticoid,619," C0017710, "
4134,419,Ferric,449," C2346593, "
1460,420,Nucleic Acid Strand,467," C1704973, "
93,421,Radicals (chemistry),595," C0302912, "
5681,422,Tetradecanoylphorbol Acetate,447," C0039654, "
5223,423,Fibrinogen containing hemostatics,563," C3540039, "
3814,424,SLC4A1 wt Allele,580," C3538902, "
741,425,Corticosterone,475," C0010124, "
3738,426,"Chloride, NOS",569," C0008203, "
1630,427,favoring,755," C0309049, "
3553,428,peroxidase,567," C0031179, "
2977,429,adrenal cortex hormone,761," C0001617, "
4180,430,Vasoactive Intestinal Peptide,552," C0042395, "
2360,431,Peroxidase stain,567," C1318719, "
1623,432,"Caffeine, NOS",546," C0006644, "
4928,433,Beta-2-Adrenergic Receptor,601," C0001643, "
5646,434,5-(3-hydroxybenzoyl)-2-thiophenesulfonamide,587," C0048996, "
1681,435,"Growth Factor, Epidermal",438," C0242275, "
1451,436,ligand-binding domain,462," C0682969, "
2385,437,Phenylalanine,490," C0031453, "
2592,438,"Polysaccharide, NOS",467," C0032594, "
4429,439,Arginine,513," C0003765, "
1105,440,agars,449," C0001771, "
4726,441,Fatty acids.nonesterified,522," C0015688, "
513,442,histone,369," C0019652, "
5841,443,AKR1A1 wt Allele,733," C3715044, "
3861,444,Dinoprost,550," C0012471, "
4852,445,a vitamin,543," C0042839, "
1325,446,"Triphosphate, Guanosine",402," C0018353, "
5775,447,"ATPase, Myosin",451," C0027096, "
5552,448,nicotinamide adenine dinucleotide (NAD),441," C0027270, "
3172,449,Transfer RNA,372," C0035711, "
2143,450,Dietary Cadmium,495," C2348259, "
4737,451,Cloning Vectors,464," C0086022, "
4868,452,"Cadmium, NOS",496," C0006632, "
141,453,"Magnesium, NOS",606," C0024467, "
2337,454,Fructose,412," C0016745, "
5010,455,Oxytocin,496," C0030095, "
4648,456,"Sulfate, Sodium Dodecyl",429," C0037506, "
2695,457,Dietary Magnesium,600," C2348270, "
5520,458,Insulin--Receptors,512," C0034818, "
2276,459,capsule (pharmacologic),646," C0006935, "
1447,460,Recombinant Oxytocin,495," C1704206, "
3115,461,"Enkephalin, NOS",467," C0014298, "
5451,462,carboxyl group,413," C0596260, "
973,463,"Antibodies, Anti",566," C1624602, "
5486,464,Catecholamine [EPC],613," C3536742, "
4272,465,Magnesium supplements,600," C3540792, "
3427,466,Magnesium Drug Class,600," C3714621, "
3974,467,cholines,456," C0008405, "
2290,468,G-1,566," C0720544, "
2464,469,Atom (substance),405," C0567415, "
3438,470,Estrogen--Receptors,417," C0034804, "
5863,471,CUPRIC CATION,486," C1177210, "
3391,472,Mercury(1+),618," C2347108, "
56,473,MT-TA gene,359," C1537998, "
1383,474,"Mercury, NOS",622," C0025424, "
811,475,Dietary Mercury,617," C2348272, "
3546,476,membrane protein,470," C0025252, "
5045,477,pressor,534," C0237795, "
3324,478,peptide hydrolase,508," C0030940, "
2041,479,specific antibody,496," C0443640, "
5797,480,Mitomycin,525," C0002475, "
440,481,penicillin,502," C0030842, "
1344,482,glucose blood,565," C0005802, "
1791,483,Concentrated Dosage Form,624," C1880165, "
2226,484,antigen specific,540," C0456981, "
4929,485,Galactose,431," C0016945, "
1109,486,alkaline phosphatases,568," C0002059, "
3554,487,ciclosporins,566," C0010592, "
5684,488,Mechlorethamine,465," C0025033, "
4316,489,"Glycogen, NOS",490," C0017911, "
4096,490,Delayed Release Dosage Form,596," C1707664, "
3413,491,"GMP, Cyclic",511," C0018338, "
2892,492,Haloperidol,467," C0018546, "
1327,493,Halothane,568," C0018549, "
408,494,drug vehicle,638," C0042444, "
4178,495,Benzodiazepine,491," C0005064, "
3409,496,Dietary Selenium,490," C2348282, "
4317,497,Tablet Dosage Form,560," C0039225, "
3868,498,Mannose,350," C0024742, "
4790,499,phosphotransferase,388," C0031727, "
5345,500,Alanine,446," C0001898, "
571,501,alkaline phosphatase stain,560," C1318717, "
5994,502,antipsychotic agent,496," C0040615, "
1569,503,"Selenium supplement, NOS",489," C0521939, "
870,504,Recombinant human chorionic gonadotrophin,463," C1527152, "
127,505,phosphatidylinositol,402," C0031621, "
4499,506,Transferrin,468," C0040679, "
4912,507,bicarbonate ion,527," C0973231, "
570,508,TF gene,468," C1442762, "
3477,509,Bicarbonate preparation,522," C2722820, "
4068,510,(-)-Nicotine,527," C0028040, "
2452,511,Recombinant Vasopressin,460," C1527128, "
3670,512,"Antihypertensive agent, NOS",619," C0003364, "
1516,513,Phenytoin,589," C0031507, "
5502,514,Lidocaine,608," C0023660, "
4163,515,proteoglycan,400," C0033692, "
3892,516,"Selenium, NOS",488," C0036581, "
5580,517,"Bile acid, NOS",435," C0005390, "
1917,518,Introns,325," C0021920, "
1845,519,Ascorbic Acid,533," C0003968, "
5718,520,Prostaglandins and oxytocics,676," C0356622, "
5665,521,Prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),676," C3539187, "
5938,522,Prostaglandin cardiac therapy preparations,676," C3540754, "
4159,523,NKS1 gene,423," C1417734, "
5055,524,Thromboxane B2,521," C0040059, "
4944,525,"Chorionic Gonadotropin, Human",455," C1141639, "
3169,526,"Chorionic gonadotropin, NOS",456," C0018062, "
1388,527,pyruvate,437," C0034354, "
4808,528,Pyruvate,437," C0244104, "
2788,529,Glutamine,401," C0017797, "
4471,530,KNG1 Gene,517," C1537501, "
2692,531,"Phosphorus, NOS",519," C0031705, "
4298,532,"Neurotransmitter, NOS",563," C0027908, "
5680,533,color additive,543," C1550604, "
2640,534,cytochrome,392," C0010798, "
39,535,acetylcholinesterases,496," C0001044, "
2217,536,Coloring Excipient,543," C1705245, "
5813,537,P4HTM gene,462," C2678549, "
2204,538,Apomorphine,416," C0003596, "
5806,539,"Serum Albumin, Bovine",479," C0036774, "
3378,540,"Lithium, NOS",550," C0023870, "
4967,541,Lithium antipsychotics,550," C3540800, "
5834,542,"Stain, NOS",544," C0038128, "
3675,543,cholecystokinins,398," C0008328, "
4091,544,STMN1 gene,550," C1416797, "
247,545,Caseins,416," C0007332, "
3847,546,Immunologic Adjuvants,580," C0001551, "
5326,547,Androgen [EPC],476," C3536949, "
491,548,"Gastrin, NOS",491," C0376180, "
1257,549,"Penicillin, NOS",492," C0220892, "
2107,550,Ferritins,491," C0015879, "
4218,551,"Analgesic, NOS",578," C0002771, "
1208,552,Bulk (conceptual),616," C1337615, "
3107,553,C3 gene,410," C1332656, "
3715,554,Cycloheximide,404," C0010572, "
3718,555,Dietary Phosphorus,504," C0080014, "
1232,556,Furosemide,539," C0016860, "
5939,557,ACETYLNEURAMINIC ACID N,428," C0067762, "
4126,558,Tubulins,334," C0041348, "
2120,559,Bleomycins,536," C0005740, "
1277,560,Thyrotrophin-releasing hormone,438," C0040162, "
1536,561,Macromolecular Branch,642," C1881507, "
2944,562,Dimethyl sulphoxide,537," C0012403, "
5279,563,Gastrin,491," C0017151, "
2338,564,Hemes,395," C0018966, "
2742,565,"Serum protein, NOS",614," C0036825, "
3011,566,Dietary Nickel,501," C2348274, "
4148,567,colforsin,402," C0917964, "
648,568,NADH,392," C0027289, "
1240,569,Fibrins,584," C0015982, "
4247,570,amphetamine,455," C0002667, "
926,571,TRH gene,438," C1421143, "
3167,572,cytokeratins,430," C0010803, "
4150,573,binding proteins,473," C0242210, "
889,574,Methanol,468," C0001963, "
4765,575,Phosphorus Drug Class,503," C3714498, "
1933,576,Digoxin,535," C0012265, "
1810,577,Pentobarbital,523," C0030883, "
2915,578,CCK gene,388," C1413167, "
3141,579,"Anaesthetic, NOS",653," C0002932, "
2739,580,Muramidase,472," C0026794, "
3507,581,Raw Sugar,469," C3665462, "
5281,582,microbicides,459," C1136254, "
1204,583,macromolecules,479," C0178735, "
3467,584,Microtubule Associated Proteins,459," C0026045, "
3417,585,"Glycosaminoglycan, NOS",432," C0017973, "
1600,586,collagenase,454," C0162745, "
